IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
52.11.202.89,443,443,true,SEA,North America,US,Seattle,305,9.57
54.71.118.29,443,443,true,SEA,North America,US,Seattle,271,9.57
35.92.138.230,443,443,true,SEA,North America,US,Seattle,234,9.57
44.243.124.49,443,443,true,SEA,North America,US,Seattle,257,9.57
34.208.250.126,443,443,true,SEA,North America,US,Seattle,240,9.57
34.222.131.105,443,443,true,SEA,North America,US,Seattle,205,9.57
34.218.248.74,443,443,true,SEA,North America,US,Seattle,261,9.57
67.226.221.182,80,443,true,SJC,North America,US,San Jose,458,9.56
44.243.222.140,443,443,true,SEA,North America,US,Seattle,225,9.56
54.212.0.106,443,443,true,SEA,North America,US,Seattle,265,9.56
35.93.31.9,443,443,true,SEA,North America,US,Seattle,319,9.56
44.245.4.198,443,443,true,SEA,North America,US,Seattle,328,9.56
54.213.215.13,8443,443,true,PDX,North America,US,Portland,237,9.56
67.226.221.90,80,443,true,SJC,North America,US,San Jose,586,9.56
204.110.220.205,80,443,true,SJC,North America,US,San Jose,182,9.56
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,275,9.56
54.202.216.58,443,443,true,SEA,North America,US,Seattle,328,9.55
35.161.89.237,443,443,true,SEA,North America,US,Seattle,319,9.55
54.213.222.246,443,443,true,SEA,North America,US,Seattle,203,9.55
67.226.223.9,443,443,true,LHR,Europe,GB,London,475,9.55
18.100.116.119,443,443,true,MAD,Europe,ES,Madrid,195,9.55
54.201.94.200,443,443,true,SEA,North America,US,Seattle,247,9.55
67.226.221.49,80,443,true,SJC,North America,US,San Jose,507,9.55
51.20.51.3,443,443,true,CPH,Europe,DK,Copenhagen,348,9.54
67.226.223.211,80,443,true,LHR,Europe,GB,London,546,9.54
34.220.219.115,8443,443,true,SEA,North America,US,Seattle,335,9.54
34.219.233.188,443,443,true,SEA,North America,US,Seattle,367,9.54
54.188.42.161,443,443,true,SEA,North America,US,Seattle,203,9.54
35.167.59.10,8443,443,true,SEA,North America,US,Seattle,200,9.54
67.226.221.46,80,443,true,SJC,North America,US,San Jose,548,9.53
54.185.204.231,443,443,true,SEA,North America,US,Seattle,340,9.53
3.252.191.92,443,443,true,MAN,Europe,GB,Manchester,327,9.53
54.218.198.138,443,443,true,SEA,North America,US,Seattle,276,9.53
52.24.181.4,443,443,true,SEA,North America,US,Seattle,345,9.53
44.243.251.186,443,443,true,SEA,North America,US,Seattle,260,9.53
52.10.230.80,443,443,true,SEA,North America,US,Seattle,354,9.53
54.218.198.138,443,443,true,SEA,North America,US,Seattle,260,9.53
204.110.220.56,80,443,true,SJC,North America,US,San Jose,181,9.53
54.213.255.249,443,443,true,SEA,North America,US,Seattle,318,9.52
35.163.84.37,443,443,true,SEA,North America,US,Seattle,252,9.52
54.187.212.113,8443,443,true,PDX,North America,US,Portland,277,9.52
34.220.67.16,8443,443,true,SEA,North America,US,Seattle,355,9.52
54.184.90.28,443,443,true,SEA,North America,US,Seattle,267,9.52
204.110.220.214,80,443,true,SJC,North America,US,San Jose,180,9.52
34.208.221.169,443,443,true,PDX,North America,US,Portland,316,9.52
35.92.54.52,443,443,true,SEA,North America,US,Seattle,323,9.52
35.167.93.200,443,443,true,SEA,North America,US,Seattle,333,9.52
54.185.186.26,443,443,true,SEA,North America,US,Seattle,233,9.52
54.185.181.110,443,443,true,SEA,North America,US,Seattle,346,9.52
34.212.12.13,443,443,true,SEA,North America,US,Seattle,291,9.52
52.24.15.209,443,443,true,PDX,North America,US,Portland,349,9.52
54.202.175.167,8443,443,true,SEA,North America,US,Seattle,226,9.52
34.208.250.126,443,443,true,SEA,North America,US,Seattle,287,9.52
35.88.27.65,8443,443,true,SEA,North America,US,Seattle,249,9.52
54.212.0.106,443,443,true,SEA,North America,US,Seattle,336,9.51
51.20.6.209,443,443,true,CPH,Europe,DK,Copenhagen,194,9.51
44.227.209.152,443,443,true,PDX,North America,US,Portland,258,9.51
54.184.236.105,443,443,true,SEA,North America,US,Seattle,224,9.51
35.167.57.211,443,443,true,SEA,North America,US,Seattle,272,9.51
67.226.221.167,80,443,true,SJC,North America,US,San Jose,429,9.51
44.245.218.43,443,443,true,SEA,North America,US,Seattle,321,9.51
204.110.220.13,80,443,true,SJC,North America,US,San Jose,177,9.51
54.70.201.49,443,443,true,SEA,North America,US,Seattle,252,9.51
34.214.104.193,8443,443,true,SEA,North America,US,Seattle,300,9.50
35.89.113.3,443,443,true,SEA,North America,US,Seattle,300,9.50
3.124.196.164,443,443,true,FRA,Europe,DE,Frankfurt,316,9.50
54.213.14.234,443,443,true,SEA,North America,US,Seattle,243,9.50
67.226.221.122,80,443,true,SJC,North America,US,San Jose,506,9.50
54.184.90.28,443,443,true,SEA,North America,US,Seattle,230,9.50
51.20.184.1,2096,443,true,ARN,Europe,SE,Stockholm,350,9.50
35.90.240.72,443,443,true,SEA,North America,US,Seattle,248,9.50
51.20.10.240,2087,443,true,ARN,Europe,SE,Stockholm,198,9.50
35.86.121.47,443,443,true,SEA,North America,US,Seattle,321,9.49
54.71.118.29,443,443,true,SEA,North America,US,Seattle,311,9.49
54.71.46.155,443,443,true,SEA,North America,US,Seattle,278,9.49
52.26.101.74,443,443,true,SEA,North America,US,Seattle,293,9.49
44.244.117.129,8443,443,true,SEA,North America,US,Seattle,301,9.49
54.213.215.13,2053,443,true,PDX,North America,US,Portland,249,9.49
51.20.99.157,443,443,true,CPH,Europe,DK,Copenhagen,226,9.49
34.221.104.235,8443,443,true,SEA,North America,US,Seattle,294,9.49
34.210.229.67,443,443,true,SEA,North America,US,Seattle,319,9.49
54.151.9.4,80,443,true,SJC,North America,US,San Jose,441,9.49
44.245.156.130,443,443,true,SEA,North America,US,Seattle,309,9.49
54.202.247.75,443,443,true,SEA,North America,US,Seattle,248,9.49
54.213.215.13,2053,443,true,PDX,North America,US,Portland,239,9.48
34.213.28.211,443,443,true,SEA,North America,US,Seattle,266,9.48
35.91.77.63,443,443,true,SEA,North America,US,Seattle,247,9.48
3.74.9.115,8443,443,true,FRA,Europe,DE,Frankfurt,252,9.48
52.89.97.12,443,443,true,PDX,North America,US,Portland,342,9.48
54.202.31.173,443,443,true,SEA,North America,US,Seattle,265,9.48
44.245.173.188,443,443,true,SEA,North America,US,Seattle,301,9.48
34.221.74.130,443,443,true,SEA,North America,US,Seattle,219,9.48
44.224.24.91,443,443,true,PDX,North America,US,Portland,236,9.48
54.202.31.173,443,443,true,SEA,North America,US,Seattle,318,9.48
35.163.142.19,443,443,true,SEA,North America,US,Seattle,332,9.47
18.159.111.125,2053,443,true,FRA,Europe,DE,Frankfurt,276,9.47
34.212.61.233,443,443,true,SEA,North America,US,Seattle,360,9.47
54.244.192.20,443,443,true,SEA,North America,US,Seattle,264,9.47
67.226.221.70,80,443,true,SJC,North America,US,San Jose,457,9.47
204.110.220.33,80,443,true,SJC,North America,US,San Jose,179,9.47
35.163.84.37,443,443,true,SEA,North America,US,Seattle,211,9.47
3.127.87.124,443,443,true,FRA,Europe,DE,Frankfurt,316,9.47
34.220.95.206,443,443,true,SEA,North America,US,Seattle,351,9.46
52.26.101.74,443,443,true,SEA,North America,US,Seattle,247,9.46
54.202.142.128,443,443,true,SEA,North America,US,Seattle,252,9.46
44.245.218.43,443,443,true,SEA,North America,US,Seattle,352,9.46
34.219.142.29,443,443,true,SEA,North America,US,Seattle,246,9.46
52.11.38.216,443,443,true,SEA,North America,US,Seattle,283,9.46
35.95.15.205,443,443,true,SEA,North America,US,Seattle,201,9.46
35.86.93.184,443,443,true,SEA,North America,US,Seattle,262,9.46
54.202.142.128,443,443,true,SEA,North America,US,Seattle,353,9.45
51.20.150.129,2053,443,true,ARN,Europe,SE,Stockholm,268,9.45
54.213.14.234,443,443,true,SEA,North America,US,Seattle,246,9.45
34.219.13.147,443,443,true,SEA,North America,US,Seattle,247,9.45
54.213.222.246,443,443,true,SEA,North America,US,Seattle,243,9.45
35.89.226.175,443,443,true,SEA,North America,US,Seattle,280,9.45
54.79.133.41,443,443,true,SYD,Oceania,AU,Sydney,288,9.45
35.91.196.131,8443,443,true,SEA,North America,US,Seattle,231,9.45
54.218.76.40,443,443,true,SEA,North America,US,Seattle,389,9.45
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,274,9.45
44.245.178.76,8443,443,true,SEA,North America,US,Seattle,321,9.45
34.219.18.150,443,443,true,SEA,North America,US,Seattle,306,9.45
67.226.221.82,80,443,true,SJC,North America,US,San Jose,592,9.45
54.212.228.204,8443,443,true,SEA,North America,US,Seattle,265,9.44
54.213.80.58,443,443,true,SEA,North America,US,Seattle,237,9.44
54.213.255.77,8443,443,true,SEA,North America,US,Seattle,261,9.44
44.243.222.140,443,443,true,SEA,North America,US,Seattle,223,9.44
54.201.155.216,443,443,true,SEA,North America,US,Seattle,282,9.44
