IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
67.226.223.253,80,443,true,LHR,Europe,GB,London,313,10.54
35.163.46.119,443,443,true,PDX,North America,US,Portland,206,10.54
35.177.50.118,443,443,true,LHR,Europe,GB,London,228,10.54
67.226.223.164,80,443,true,LHR,Europe,GB,London,296,10.54
52.12.235.221,443,443,true,PDX,North America,US,Portland,255,10.54
54.67.51.212,80,443,true,SJC,North America,US,San Jose,387,10.54
34.221.189.191,443,443,true,PDX,North America,US,Portland,317,10.54
34.219.203.236,443,443,true,PDX,North America,US,Portland,286,10.54
34.212.36.102,443,443,true,PDX,North America,US,Portland,259,10.54
67.226.223.248,80,443,true,LHR,Europe,GB,London,347,10.54
34.219.18.150,443,443,true,PDX,North America,US,Portland,469,10.53
34.221.240.75,443,443,true,PDX,North America,US,Portland,357,10.53
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,259,10.53
18.185.51.67,8080,443,true,FRA,Europe,DE,Frankfurt,235,10.53
51.20.84.67,443,443,true,CPH,Europe,DK,Copenhagen,275,10.53
34.220.171.252,443,443,true,PDX,North America,US,Portland,234,10.53
67.226.223.103,80,443,true,LHR,Europe,GB,London,498,10.53
35.91.162.213,443,443,true,PDX,North America,US,Portland,336,10.53
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,256,10.53
54.68.189.115,443,443,true,PDX,North America,US,Portland,231,10.52
54.189.71.246,443,443,true,PDX,North America,US,Portland,230,10.52
3.70.215.64,443,443,true,FRA,Europe,DE,Frankfurt,251,10.52
52.42.145.17,443,443,true,PDX,North America,US,Portland,198,10.52
44.244.91.105,443,443,true,PDX,North America,US,Portland,286,10.52
54.189.71.246,443,443,true,PDX,North America,US,Portland,275,10.51
35.157.82.183,443,443,true,FRA,Europe,DE,Frankfurt,240,10.51
67.226.223.137,80,443,true,LHR,Europe,GB,London,170,10.51
44.243.186.233,443,443,true,PDX,North America,US,Portland,204,10.51
18.132.212.150,443,443,true,LHR,Europe,GB,London,235,10.51
3.124.208.189,443,443,true,FRA,Europe,DE,Frankfurt,202,10.51
54.213.222.246,443,443,true,PDX,North America,US,Portland,201,10.51
34.221.69.217,443,443,true,PDX,North America,US,Portland,283,10.51
54.188.152.116,8443,443,true,PDX,North America,US,Portland,223,10.50
34.222.254.31,443,443,true,PDX,North America,US,Portland,423,10.50
34.212.36.102,443,443,true,PDX,North America,US,Portland,303,10.50
18.133.121.16,443,443,true,LHR,Europe,GB,London,290,10.50
54.203.6.108,443,443,true,PDX,North America,US,Portland,208,10.50
44.243.168.241,443,443,true,PDX,North America,US,Portland,255,10.50
34.213.7.255,443,443,true,PDX,North America,US,Portland,243,10.50
54.213.214.160,443,443,true,SEA,North America,US,Seattle,313,10.49
35.162.134.47,443,443,true,PDX,North America,US,Portland,223,10.49
35.181.1.44,443,443,true,CDG,Europe,FR,Paris,266,10.49
44.245.16.30,443,443,true,PDX,North America,US,Portland,212,10.49
67.226.223.184,80,443,true,LHR,Europe,GB,London,347,10.49
51.20.133.4,8443,443,true,CPH,Europe,DK,Copenhagen,297,10.48
54.69.190.62,443,443,true,PDX,North America,US,Portland,368,10.48
35.157.229.137,8443,443,true,FRA,Europe,DE,Frankfurt,247,10.48
35.180.68.246,443,443,true,CDG,Europe,FR,Paris,389,10.48
67.226.223.232,80,443,true,LHR,Europe,GB,London,318,10.48
34.217.116.214,443,443,true,PDX,North America,US,Portland,231,10.48
54.214.212.141,443,443,true,PDX,North America,US,Portland,421,10.48
44.244.168.70,443,443,true,PDX,North America,US,Portland,373,10.48
18.132.247.125,443,443,true,LHR,Europe,GB,London,309,10.48
35.181.145.78,8443,443,true,CDG,Europe,FR,Paris,230,10.48
51.20.99.157,443,443,true,CPH,Europe,DK,Copenhagen,193,10.47
34.215.66.74,443,443,true,PDX,North America,US,Portland,313,10.47
18.170.225.219,2096,443,true,LHR,Europe,GB,London,294,10.47
34.245.77.74,8080,443,true,DUB,Europe,IE,Dublin,308,10.47
54.187.212.113,2053,443,true,PDX,North America,US,Portland,354,10.47
18.132.213.178,443,443,true,LHR,Europe,GB,London,270,10.47
34.219.13.147,443,443,true,PDX,North America,US,Portland,212,10.46
18.170.65.57,443,443,true,LHR,Europe,GB,London,332,10.46
52.26.202.163,443,443,true,PDX,North America,US,Portland,245,10.46
54.244.212.173,443,443,true,PDX,North America,US,Portland,289,10.46
54.201.117.172,443,443,true,PDX,North America,US,Portland,206,10.45
3.78.24.246,8443,443,true,FRA,Europe,DE,Frankfurt,337,10.45
35.88.173.195,443,443,true,PDX,North America,US,Portland,288,10.45
18.134.129.242,443,443,true,LHR,Europe,GB,London,345,10.45
18.133.141.102,443,443,true,LHR,Europe,GB,London,336,10.45
67.226.223.165,80,443,true,LHR,Europe,GB,London,283,10.45
34.219.188.99,443,443,true,PDX,North America,US,Portland,245,10.44
18.170.67.220,443,443,true,LHR,Europe,GB,London,241,10.44
67.226.223.159,80,443,true,LHR,Europe,GB,London,414,10.44
54.190.181.23,443,443,true,PDX,North America,US,Portland,298,10.44
35.90.203.29,443,443,true,PDX,North America,US,Portland,273,10.43
54.190.26.249,443,443,true,PDX,North America,US,Portland,314,10.43
63.176.104.227,443,443,true,FRA,Europe,DE,Frankfurt,286,10.43
54.213.215.13,8443,443,true,PDX,North America,US,Portland,199,10.43
44.245.4.163,443,443,true,PDX,North America,US,Portland,238,10.42
18.132.201.3,443,443,true,LHR,Europe,GB,London,321,10.42
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,279,10.42
35.87.202.138,8443,443,true,PDX,North America,US,Portland,295,10.42
34.222.171.149,443,443,true,PDX,North America,US,Portland,238,10.42
34.222.18.54,443,443,true,PDX,North America,US,Portland,227,10.42
67.226.223.206,80,443,true,LHR,Europe,GB,London,166,10.41
54.216.40.130,8443,443,true,DUB,Europe,IE,Dublin,383,10.41
54.188.230.70,443,443,true,PDX,North America,US,Portland,326,10.41
