IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
3.9.223.59,443,443,true,LHR,Europe,GB,London,286,10.44
34.220.136.79,443,443,true,PDX,North America,US,Portland,263,10.43
54.202.56.174,443,443,true,SEA,North America,US,Seattle,263,10.43
67.226.223.205,80,443,true,LHR,Europe,GB,London,166,10.43
67.226.223.37,80,443,true,LHR,Europe,GB,London,169,10.43
35.89.11.173,443,443,true,SEA,North America,US,Seattle,277,10.42
35.87.122.22,443,443,true,SEA,North America,US,Seattle,355,10.42
54.191.196.226,443,443,true,PDX,North America,US,Portland,263,10.42
35.180.35.173,443,443,true,CDG,Europe,FR,Paris,269,10.42
34.208.228.22,443,443,true,PDX,North America,US,Portland,231,10.41
67.226.223.152,443,443,true,LHR,Europe,GB,London,181,10.41
34.253.241.167,8080,443,true,DUB,Europe,IE,Dublin,183,10.40
18.236.206.186,443,443,true,PDX,North America,US,Portland,231,10.40
54.187.212.113,2053,443,true,PDX,North America,US,Portland,276,10.40
54.186.64.99,443,443,true,SEA,North America,US,Seattle,209,10.40
35.92.86.179,443,443,true,SEA,North America,US,Seattle,206,10.40
35.90.161.3,443,443,true,SEA,North America,US,Seattle,258,10.39
54.219.128.169,80,443,true,SJC,North America,US,San Jose,236,10.39
67.226.223.242,80,443,true,LHR,Europe,GB,London,368,10.39
35.92.94.123,443,443,true,SEA,North America,US,Seattle,262,10.39
52.211.4.77,443,443,true,DUB,Europe,IE,Dublin,228,10.39
67.226.221.190,80,443,true,SJC,North America,US,San Jose,412,10.39
44.245.178.76,8443,443,true,SEA,North America,US,Seattle,243,10.38
35.88.27.65,8443,443,true,SEA,North America,US,Seattle,335,10.38
52.24.205.239,443,443,true,SEA,North America,US,Seattle,259,10.38
34.222.112.143,443,443,true,PDX,North America,US,Portland,210,10.38
54.185.204.231,443,443,true,SEA,North America,US,Seattle,205,10.38
54.212.0.106,443,443,true,SEA,North America,US,Seattle,333,10.38
35.88.87.58,443,443,true,SEA,North America,US,Seattle,269,10.38
54.213.208.87,443,443,true,PDX,North America,US,Portland,309,10.38
67.226.223.79,80,443,true,LHR,Europe,GB,London,533,10.38
18.237.32.69,443,443,true,PDX,North America,US,Portland,196,10.37
54.245.204.155,443,443,true,SEA,North America,US,Seattle,256,10.37
54.189.54.134,443,443,true,SEA,North America,US,Seattle,310,10.37
3.67.174.75,443,443,true,FRA,Europe,DE,Frankfurt,254,10.37
35.181.77.67,443,443,true,CDG,Europe,FR,Paris,336,10.37
67.226.223.216,80,443,true,LHR,Europe,GB,London,505,10.37
67.226.223.115,80,443,true,LHR,Europe,GB,London,297,10.37
35.157.113.19,443,443,true,FRA,Europe,DE,Frankfurt,353,10.36
35.163.232.145,443,443,true,SEA,North America,US,Seattle,199,10.36
35.93.62.242,443,443,true,SEA,North America,US,Seattle,224,10.35
54.213.215.13,2053,443,true,PDX,North America,US,Portland,298,10.35
