IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.170.116.168,443,443,true,LHR,Europe,GB,London,220,0.37
3.87.169.12,443,443,true,IAD,North America,US,Ashburn,367,0.37
54.242.137.41,443,443,true,IAD,North America,US,Ashburn,279,0.37
54.89.110.111,443,443,true,IAD,North America,US,Ashburn,250,0.37
52.91.91.138,443,443,true,IAD,North America,US,Ashburn,355,0.37
15.237.56.246,443,443,true,CDG,Europe,FR,Paris,361,0.36
54.235.63.34,443,443,true,IAD,North America,US,Ashburn,307,0.36
54.91.141.113,443,443,true,IAD,North America,US,Ashburn,329,0.36
3.88.101.123,443,443,true,IAD,North America,US,Ashburn,287,0.36
3.92.20.63,443,443,true,IAD,North America,US,Ashburn,315,0.36
3.88.106.110,443,443,true,IAD,North America,US,Ashburn,441,0.36
54.227.192.117,443,443,true,IAD,North America,US,Ashburn,320,0.35
15.156.58.217,443,443,true,YUL,North America,CA,Montréal,335,0.35
15.237.150.187,443,443,true,CDG,Europe,FR,Paris,401,0.35
18.133.187.116,443,443,true,LHR,Europe,GB,London,309,0.35
54.173.244.116,443,443,true,IAD,North America,US,Ashburn,292,0.35
54.158.226.169,443,443,true,IAD,North America,US,Ashburn,287,0.35
54.144.97.218,443,443,true,IAD,North America,US,Ashburn,429,0.35
3.95.228.233,443,443,true,IAD,North America,US,Ashburn,329,0.35
18.202.248.161,443,443,true,DUB,Europe,IE,Dublin,373,0.34
18.202.232.67,443,443,true,DUB,Europe,IE,Dublin,279,0.34
54.173.105.138,443,443,true,IAD,North America,US,Ashburn,293,0.34
54.227.89.183,443,443,true,IAD,North America,US,Ashburn,309,0.34
98.81.81.161,443,443,true,IAD,North America,US,Ashburn,281,0.33
3.88.155.30,443,443,true,IAD,North America,US,Ashburn,303,0.33
54.144.64.195,443,443,true,IAD,North America,US,Ashburn,357,0.33
54.145.8.47,443,443,true,IAD,North America,US,Ashburn,465,0.33
3.80.59.127,443,443,true,IAD,North America,US,Ashburn,365,0.33
54.224.162.39,443,443,true,IAD,North America,US,Ashburn,266,0.33
54.227.111.28,443,443,true,IAD,North America,US,Ashburn,361,0.33
54.196.174.51,443,443,true,IAD,North America,US,Ashburn,276,0.33
54.226.24.156,443,443,true,IAD,North America,US,Ashburn,367,0.33
184.72.85.90,443,443,true,IAD,North America,US,Ashburn,379,0.33
52.19.208.58,443,443,true,DUB,Europe,IE,Dublin,278,0.33
54.225.62.128,443,443,true,IAD,North America,US,Ashburn,307,0.33
54.221.138.151,443,443,true,IAD,North America,US,Ashburn,290,0.33
3.255.204.53,443,443,true,DUB,Europe,IE,Dublin,306,0.32
54.89.162.76,443,443,true,IAD,North America,US,Ashburn,276,0.32
52.47.161.4,443,443,true,CDG,Europe,FR,Paris,265,0.32
54.196.154.94,443,443,true,IAD,North America,US,Ashburn,351,0.32
54.167.101.45,443,443,true,IAD,North America,US,Ashburn,306,0.32
3.67.98.4,443,443,true,FRA,Europe,DE,Frankfurt,343,0.32
54.211.16.254,443,443,true,IAD,North America,US,Ashburn,257,0.32
52.207.250.146,443,443,true,IAD,North America,US,Ashburn,454,0.32
23.20.102.142,443,443,true,IAD,North America,US,Ashburn,366,0.32
52.212.210.229,443,443,true,DUB,Europe,IE,Dublin,211,0.32
54.196.206.189,443,443,true,IAD,North America,US,Ashburn,375,0.32
44.222.211.250,443,443,true,IAD,North America,US,Ashburn,305,0.32
34.253.103.194,443,443,true,DUB,Europe,IE,Dublin,256,0.31
52.87.249.252,443,443,true,IAD,North America,US,Ashburn,393,0.31
3.67.201.99,443,443,true,FRA,Europe,DE,Frankfurt,325,0.31
3.80.99.25,443,443,true,IAD,North America,US,Ashburn,298,0.31
54.226.79.12,443,443,true,IAD,North America,US,Ashburn,336,0.31
107.20.93.238,443,443,true,IAD,North America,US,Ashburn,261,0.31
3.82.48.43,443,443,true,IAD,North America,US,Ashburn,253,0.31
44.223.26.120,443,443,true,IAD,North America,US,Ashburn,375,0.31
3.70.6.227,443,443,true,FRA,Europe,DE,Frankfurt,253,0.30
