IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.188.152.116,8443,443,true,SEA,North America,US,Seattle,231,10.50
34.219.136.122,443,443,true,SEA,North America,US,Seattle,288,10.50
67.226.223.63,80,443,true,LHR,Europe,GB,London,359,10.49
34.220.99.189,443,443,true,SEA,North America,US,Seattle,333,10.49
52.10.230.80,443,443,true,SEA,North America,US,Seattle,201,10.49
3.249.49.224,443,443,true,DUB,Europe,IE,Dublin,347,10.49
35.92.121.201,443,443,true,SEA,North America,US,Seattle,327,10.49
54.186.206.254,443,443,true,PDX,North America,US,Portland,288,10.49
67.226.223.211,80,443,true,LHR,Europe,GB,London,275,10.49
3.75.225.62,443,443,true,FRA,Europe,DE,Frankfurt,327,10.49
35.176.165.82,2096,443,true,LHR,Europe,GB,London,298,10.49
34.214.104.193,8443,443,true,SEA,North America,US,Seattle,274,10.48
44.243.116.107,443,443,true,PDX,North America,US,Portland,224,10.48
44.224.24.91,443,443,true,SEA,North America,US,Seattle,339,10.47
3.123.41.161,8443,443,true,FRA,Europe,DE,Frankfurt,280,10.47
67.226.223.104,80,443,true,LHR,Europe,GB,London,427,10.46
35.176.229.223,443,443,true,LHR,Europe,GB,London,293,10.46
67.226.223.103,443,443,true,LHR,Europe,GB,London,350,10.46
34.220.182.152,443,443,true,PDX,North America,US,Portland,227,10.46
52.11.185.92,443,443,true,SEA,North America,US,Seattle,208,10.46
52.42.71.111,443,443,true,SEA,North America,US,Seattle,200,10.46
54.213.215.13,2053,443,true,PDX,North America,US,Portland,256,10.46
52.89.100.174,443,443,true,SEA,North America,US,Seattle,238,10.46
44.244.75.225,443,443,true,SEA,North America,US,Seattle,283,10.45
34.218.248.74,443,443,true,SEA,North America,US,Seattle,203,10.45
34.208.250.126,443,443,true,SEA,North America,US,Seattle,310,10.45
54.219.128.169,80,443,true,SJC,North America,US,San Jose,192,10.45
16.171.52.23,8443,443,true,CPH,Europe,DK,Copenhagen,193,10.44
67.226.223.206,443,443,true,LHR,Europe,GB,London,166,10.44
52.34.201.52,443,443,true,PDX,North America,US,Portland,223,10.44
34.219.13.147,443,443,true,SEA,North America,US,Seattle,274,10.43
51.20.41.255,443,443,true,CPH,Europe,DK,Copenhagen,204,10.43
35.94.222.231,443,443,true,PDX,North America,US,Portland,192,10.42
34.214.172.22,443,443,true,SEA,North America,US,Seattle,218,10.42
54.212.0.106,443,443,true,SEA,North America,US,Seattle,198,10.42
35.167.57.211,443,443,true,SEA,North America,US,Seattle,296,10.42
3.122.86.99,443,443,true,FRA,Europe,DE,Frankfurt,207,10.42
3.75.225.62,443,443,true,FRA,Europe,DE,Frankfurt,315,10.41
54.177.181.158,80,443,true,SJC,North America,US,San Jose,329,10.40
