IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.254.232.98,8443,443,true,DUB,Europe,IE,Dublin,348,8.19
54.149.11.131,80,443,true,PDX,North America,US,Portland,417,8.08
34.214.3.46,443,443,true,SEA,North America,US,Seattle,352,8.03
3.140.190.180,443,443,true,IAD,North America,US,Ashburn,237,8.01
52.47.125.55,443,443,true,CDG,Europe,FR,Paris,239,8.00
18.220.148.189,443,443,true,IAD,North America,US,Ashburn,237,7.97
3.144.24.60,443,443,true,IAD,North America,US,Ashburn,298,7.93
3.134.103.84,443,443,true,IAD,North America,US,Ashburn,240,7.89
3.138.105.75,443,443,true,CMH,North America,US,Columbus,335,7.85
3.19.141.102,443,443,true,IAD,North America,US,Ashburn,321,7.85
3.138.188.85,443,443,true,IAD,North America,US,Ashburn,384,7.85
44.195.78.208,443,443,true,IAD,North America,US,Ashburn,263,7.82
18.191.2.168,443,443,true,IAD,North America,US,Ashburn,271,7.82
3.18.108.252,443,443,true,IAD,North America,US,Ashburn,322,7.81
3.19.141.102,443,443,true,IAD,North America,US,Ashburn,271,7.81
3.128.198.214,443,443,true,ORD,North America,US,Chicago,316,7.81
3.15.215.18,443,443,true,IAD,North America,US,Ashburn,246,7.81
54.236.240.114,443,443,true,IAD,North America,US,Ashburn,271,7.81
18.189.1.66,443,443,true,IAD,North America,US,Ashburn,354,7.81
44.228.63.60,80,443,true,SEA,North America,US,Seattle,235,7.81
52.47.125.55,443,443,true,CDG,Europe,FR,Paris,428,7.80
18.216.125.228,443,443,true,IAD,North America,US,Ashburn,357,7.80
3.20.203.168,443,443,true,IAD,North America,US,Ashburn,371,7.80
3.19.245.231,443,443,true,IAD,North America,US,Ashburn,327,7.80
3.23.112.186,443,443,true,IAD,North America,US,Ashburn,288,7.79
3.23.100.42,443,443,true,IAD,North America,US,Ashburn,226,7.79
3.143.230.22,443,443,true,IAD,North America,US,Ashburn,261,7.79
18.216.215.120,443,443,true,IAD,North America,US,Ashburn,365,7.79
18.222.148.79,443,443,true,IAD,North America,US,Ashburn,307,7.78
3.134.102.208,443,443,true,IAD,North America,US,Ashburn,264,7.78
3.149.229.186,443,443,true,ORD,North America,US,Chicago,257,7.78
63.177.133.124,443,443,true,FRA,Europe,DE,Frankfurt,264,7.78
52.40.102.162,443,443,true,SEA,North America,US,Seattle,359,7.78
34.207.249.42,443,443,true,IAD,North America,US,Ashburn,296,7.76
18.198.77.98,443,443,true,FRA,Europe,DE,Frankfurt,286,7.76
50.19.193.95,443,443,true,IAD,North America,US,Ashburn,248,7.76
3.9.9.137,2053,443,true,LHR,Europe,GB,London,240,7.76
3.20.239.26,443,443,true,IAD,North America,US,Ashburn,240,7.76
3.21.171.128,443,443,true,IAD,North America,US,Ashburn,394,7.76
3.18.221.241,443,443,true,IAD,North America,US,Ashburn,249,7.76
3.21.125.35,443,443,true,IAD,North America,US,Ashburn,262,7.75
3.16.83.250,443,443,true,ORD,North America,US,Chicago,239,7.75
98.83.120.225,443,443,true,IAD,North America,US,Ashburn,314,7.75
3.135.228.248,443,443,true,IAD,North America,US,Ashburn,227,7.74
3.134.105.62,443,443,true,IAD,North America,US,Ashburn,234,7.74
3.147.60.73,443,443,true,CMH,North America,US,Columbus,311,7.73
44.223.107.242,443,443,true,IAD,North America,US,Ashburn,387,7.73
3.21.126.191,443,443,true,IAD,North America,US,Ashburn,391,7.73
3.131.137.104,443,443,true,IAD,North America,US,Ashburn,226,7.73
3.14.5.13,443,443,true,IAD,North America,US,Ashburn,388,7.73
3.139.101.119,443,443,true,IAD,North America,US,Ashburn,377,7.72
18.221.11.226,443,443,true,IAD,North America,US,Ashburn,319,7.72
52.14.147.22,443,443,true,IAD,North America,US,Ashburn,348,7.72
3.143.252.196,443,443,true,IAD,North America,US,Ashburn,342,7.72
3.131.128.212,443,443,true,IAD,North America,US,Ashburn,395,7.72
18.222.143.239,443,443,true,IAD,North America,US,Ashburn,356,7.72
18.188.130.54,443,443,true,IAD,North America,US,Ashburn,274,7.72
3.138.182.183,443,443,true,IAD,North America,US,Ashburn,325,7.72
18.226.82.252,443,443,true,CMH,North America,US,Columbus,375,7.72
3.18.113.140,443,443,true,IAD,North America,US,Ashburn,398,7.71
3.23.128.191,443,443,true,IAD,North America,US,Ashburn,237,7.71
3.18.108.252,443,443,true,IAD,North America,US,Ashburn,348,7.71
18.217.99.229,443,443,true,IAD,North America,US,Ashburn,247,7.71
18.189.195.67,443,443,true,IAD,North America,US,Ashburn,417,7.71
3.142.83.225,443,443,true,IAD,North America,US,Ashburn,256,7.71
3.144.13.97,443,443,true,ORD,North America,US,Chicago,357,7.71
3.144.162.186,443,443,true,IAD,North America,US,Ashburn,316,7.71
3.75.214.33,443,443,true,FRA,Europe,DE,Frankfurt,377,7.70
3.141.153.54,443,443,true,IAD,North America,US,Ashburn,237,7.70
52.14.96.192,443,443,true,IAD,North America,US,Ashburn,458,7.70
52.14.142.51,443,443,true,IAD,North America,US,Ashburn,368,7.70
52.15.225.9,443,443,true,IAD,North America,US,Ashburn,232,7.70
3.14.68.104,443,443,true,IAD,North America,US,Ashburn,353,7.70
3.19.30.127,443,443,true,IAD,North America,US,Ashburn,350,7.70
3.133.13.115,443,443,true,IAD,North America,US,Ashburn,404,7.69
3.128.190.128,443,443,true,IAD,North America,US,Ashburn,326,7.69
3.16.13.34,443,443,true,IAD,North America,US,Ashburn,262,7.69
3.19.66.221,443,443,true,IAD,North America,US,Ashburn,231,7.69
3.149.213.53,443,443,true,CMH,North America,US,Columbus,280,7.69
18.190.219.245,443,443,true,ORD,North America,US,Chicago,249,7.69
3.139.61.55,443,443,true,IAD,North America,US,Ashburn,445,7.68
3.17.27.26,443,443,true,IAD,North America,US,Ashburn,264,7.68
3.147.73.220,443,443,true,CMH,North America,US,Columbus,418,7.68
3.139.99.107,443,443,true,IAD,North America,US,Ashburn,226,7.68
63.177.133.124,2053,443,true,FRA,Europe,DE,Frankfurt,254,7.68
3.144.139.72,443,443,true,IAD,North America,US,Ashburn,260,7.68
18.224.110.192,443,443,true,IAD,North America,US,Ashburn,435,7.67
18.221.73.119,443,443,true,IAD,North America,US,Ashburn,343,7.67
35.92.159.51,443,443,true,SEA,North America,US,Seattle,431,7.67
3.142.95.238,443,443,true,IAD,North America,US,Ashburn,440,7.67
18.224.252.192,443,443,true,IAD,North America,US,Ashburn,295,7.66
18.222.158.132,443,443,true,IAD,North America,US,Ashburn,352,7.66
3.22.97.112,443,443,true,IAD,North America,US,Ashburn,377,7.66
18.118.128.55,443,443,true,ORD,North America,US,Chicago,247,7.66
3.145.203.54,443,443,true,IAD,North America,US,Ashburn,399,7.66
3.137.151.156,443,443,true,IAD,North America,US,Ashburn,388,7.65
3.141.195.183,443,443,true,IAD,North America,US,Ashburn,380,7.65
3.139.99.107,443,443,true,IAD,North America,US,Ashburn,401,7.65
18.188.111.185,443,443,true,IAD,North America,US,Ashburn,289,7.65
18.216.163.181,443,443,true,IAD,North America,US,Ashburn,462,7.65
3.22.241.99,443,443,true,CMH,North America,US,Columbus,257,7.64
3.15.218.52,443,443,true,CMH,North America,US,Columbus,270,7.64
18.221.24.22,443,443,true,IAD,North America,US,Ashburn,245,7.64
63.177.133.124,2053,443,true,FRA,Europe,DE,Frankfurt,363,7.64
3.15.221.117,443,443,true,CMH,North America,US,Columbus,278,7.64
3.19.240.30,443,443,true,IAD,North America,US,Ashburn,319,7.64
18.118.49.159,443,443,true,IAD,North America,US,Ashburn,322,7.63
3.22.57.199,443,443,true,IAD,North America,US,Ashburn,281,7.63
3.21.171.128,443,443,true,IAD,North America,US,Ashburn,225,7.62
3.142.77.88,443,443,true,IAD,North America,US,Ashburn,332,7.62
3.21.169.251,443,443,true,IAD,North America,US,Ashburn,389,7.62
52.14.153.202,443,443,true,IAD,North America,US,Ashburn,256,7.62
3.134.102.156,443,443,true,IAD,North America,US,Ashburn,238,7.62
3.143.169.104,443,443,true,IAD,North America,US,Ashburn,366,7.62
3.22.188.105,443,443,true,IAD,North America,US,Ashburn,263,7.62
3.138.191.153,443,443,true,IAD,North America,US,Ashburn,238,7.61
18.188.116.98,443,443,true,IAD,North America,US,Ashburn,260,7.61
3.18.113.133,443,443,true,IAD,North America,US,Ashburn,237,7.61
3.19.26.2,443,443,true,IAD,North America,US,Ashburn,241,7.61
3.134.96.20,443,443,true,IAD,North America,US,Ashburn,250,7.61
18.218.100.65,443,443,true,IAD,North America,US,Ashburn,249,7.61
18.226.185.96,443,443,true,CMH,North America,US,Columbus,284,7.61
18.118.189.186,8443,443,true,ORD,North America,US,Chicago,235,7.61
3.145.102.72,443,443,true,ORD,North America,US,Chicago,375,7.60
3.135.192.11,443,443,true,ORD,North America,US,Chicago,275,7.60
3.19.65.182,443,443,true,IAD,North America,US,Ashburn,331,7.60
3.19.29.37,443,443,true,IAD,North America,US,Ashburn,300,7.60
18.118.167.40,443,443,true,IAD,North America,US,Ashburn,240,7.60
3.8.148.92,8443,443,true,LHR,Europe,GB,London,225,7.60
3.134.91.61,443,443,true,IAD,North America,US,Ashburn,363,7.60
3.19.31.150,443,443,true,IAD,North America,US,Ashburn,424,7.60
3.14.68.104,443,443,true,IAD,North America,US,Ashburn,360,7.60
3.129.45.76,443,443,true,IAD,North America,US,Ashburn,362,7.60
3.19.29.50,443,443,true,IAD,North America,US,Ashburn,401,7.59
3.142.140.42,443,443,true,IAD,North America,US,Ashburn,409,7.59
3.15.233.214,443,443,true,IAD,North America,US,Ashburn,421,7.59
3.137.142.189,443,443,true,IAD,North America,US,Ashburn,355,7.59
18.190.159.20,443,443,true,IAD,North America,US,Ashburn,254,7.59
3.18.113.140,443,443,true,IAD,North America,US,Ashburn,441,7.59
52.90.123.137,443,443,true,IAD,North America,US,Ashburn,283,7.59
18.189.29.240,443,443,true,IAD,North America,US,Ashburn,283,7.59
3.15.9.22,443,443,true,IAD,North America,US,Ashburn,409,7.58
3.22.168.162,443,443,true,IAD,North America,US,Ashburn,279,7.58
3.145.194.191,443,443,true,IAD,North America,US,Ashburn,441,7.58
3.141.30.252,443,443,true,CMH,North America,US,Columbus,375,7.57
3.20.205.241,443,443,true,IAD,North America,US,Ashburn,288,7.57
18.191.85.34,443,443,true,IAD,North America,US,Ashburn,257,7.57
3.144.21.113,443,443,true,CMH,North America,US,Columbus,272,7.57
18.190.253.118,443,443,true,CMH,North America,US,Columbus,235,7.57
18.119.110.114,443,443,true,IAD,North America,US,Ashburn,319,7.57
3.142.69.242,443,443,true,IAD,North America,US,Ashburn,257,7.57
3.134.96.20,443,443,true,IAD,North America,US,Ashburn,313,7.56
18.118.161.183,443,443,true,IAD,North America,US,Ashburn,350,7.56
3.88.110.210,2053,443,true,IAD,North America,US,Ashburn,320,7.56
18.220.36.209,443,443,true,IAD,North America,US,Ashburn,251,7.56
3.16.26.140,443,443,true,IAD,North America,US,Ashburn,244,7.55
52.14.34.150,443,443,true,IAD,North America,US,Ashburn,224,7.55
3.136.155.141,443,443,true,IAD,North America,US,Ashburn,371,7.54
3.18.223.233,443,443,true,IAD,North America,US,Ashburn,268,7.54
3.20.240.236,443,443,true,IAD,North America,US,Ashburn,317,7.54
3.147.80.96,443,443,true,CMH,North America,US,Columbus,373,7.54
3.14.152.130,443,443,true,IAD,North America,US,Ashburn,340,7.54
3.22.100.243,443,443,true,IAD,North America,US,Ashburn,384,7.53
3.134.106.157,443,443,true,IAD,North America,US,Ashburn,397,7.53
18.191.19.79,443,443,true,IAD,North America,US,Ashburn,249,7.53
3.17.203.134,443,443,true,IAD,North America,US,Ashburn,261,7.53
3.123.242.99,443,443,true,FRA,Europe,DE,Frankfurt,318,7.53
54.70.201.49,443,443,true,SEA,North America,US,Seattle,402,7.52
3.141.105.31,443,443,true,IAD,North America,US,Ashburn,400,7.52
3.135.204.58,443,443,true,CMH,North America,US,Columbus,367,7.52
3.22.167.48,443,443,true,IAD,North America,US,Ashburn,387,7.51
18.116.20.80,443,443,true,CMH,North America,US,Columbus,399,7.51
3.141.12.181,443,443,true,CMH,North America,US,Columbus,232,7.51
3.138.120.67,443,443,true,IAD,North America,US,Ashburn,449,7.50
3.133.84.221,443,443,true,IAD,North America,US,Ashburn,308,7.50
3.147.46.7,443,443,true,IAD,North America,US,Ashburn,338,7.50
18.188.15.223,443,443,true,IAD,North America,US,Ashburn,274,7.49
