IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.212.134.181,443,443,true,SEA,North America,US,Seattle,411,9.26
34.212.109.77,443,443,true,SEA,North America,US,Seattle,270,9.26
18.237.244.72,443,443,true,SEA,North America,US,Seattle,242,9.26
35.89.197.176,443,443,true,SEA,North America,US,Seattle,264,9.26
34.220.98.196,443,443,true,SEA,North America,US,Seattle,257,9.25
54.191.173.252,443,443,true,SEA,North America,US,Seattle,305,9.25
44.244.140.217,443,443,true,SEA,North America,US,Seattle,262,9.25
44.227.78.80,443,443,true,PDX,North America,US,Portland,251,9.25
18.237.253.68,443,443,true,SEA,North America,US,Seattle,252,9.25
34.221.20.125,8443,443,true,SEA,North America,US,Seattle,240,9.24
44.243.226.172,443,443,true,SEA,North America,US,Seattle,251,9.24
34.220.62.43,443,443,true,SEA,North America,US,Seattle,212,9.24
54.70.128.158,443,443,true,SEA,North America,US,Seattle,309,9.24
34.216.125.24,443,443,true,SEA,North America,US,Seattle,309,9.24
54.245.70.150,443,443,true,SEA,North America,US,Seattle,277,9.23
18.236.209.232,443,443,true,SEA,North America,US,Seattle,319,9.23
18.237.72.149,443,443,true,SEA,North America,US,Seattle,195,9.23
54.70.40.104,443,443,true,SEA,North America,US,Seattle,262,9.23
18.237.69.127,443,443,true,SEA,North America,US,Seattle,221,9.23
35.90.148.235,443,443,true,SEA,North America,US,Seattle,314,9.23
204.110.220.35,80,443,true,SJC,North America,US,San Jose,262,9.23
35.93.187.72,443,443,true,SEA,North America,US,Seattle,317,9.22
34.220.219.115,8443,443,true,SEA,North America,US,Seattle,331,9.22
44.245.151.82,443,443,true,SEA,North America,US,Seattle,267,9.22
52.13.212.72,443,443,true,PDX,North America,US,Portland,289,9.22
44.243.160.115,443,443,true,SEA,North America,US,Seattle,246,9.22
204.110.220.151,80,443,true,SJC,North America,US,San Jose,201,9.21
34.219.206.100,443,443,true,SEA,North America,US,Seattle,295,9.21
34.208.250.126,443,443,true,SEA,North America,US,Seattle,378,9.21
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,231,9.21
34.222.41.157,443,443,true,SEA,North America,US,Seattle,223,9.21
35.89.38.48,443,443,true,SEA,North America,US,Seattle,337,9.21
34.222.88.107,443,443,true,SEA,North America,US,Seattle,395,9.20
35.164.112.65,443,443,true,SEA,North America,US,Seattle,260,9.20
54.202.139.156,443,443,true,PDX,North America,US,Portland,338,9.20
34.209.25.233,443,443,true,SEA,North America,US,Seattle,204,9.20
44.243.121.99,443,443,true,SEA,North America,US,Seattle,250,9.20
52.10.65.143,443,443,true,SEA,North America,US,Seattle,272,9.20
54.202.126.238,443,443,true,SEA,North America,US,Seattle,375,9.19
35.89.33.224,443,443,true,SEA,North America,US,Seattle,318,9.19
44.243.183.85,443,443,true,SEA,North America,US,Seattle,224,9.19
204.110.220.2,80,443,true,SJC,North America,US,San Jose,180,9.19
54.191.126.3,443,443,true,SEA,North America,US,Seattle,261,9.19
35.95.2.151,443,443,true,PDX,North America,US,Portland,370,9.19
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,246,9.19
44.244.117.129,8443,443,true,SEA,North America,US,Seattle,304,9.18
44.244.164.102,443,443,true,SEA,North America,US,Seattle,287,9.18
67.226.223.50,443,443,true,LHR,Europe,GB,London,540,9.18
34.211.11.227,443,443,true,SEA,North America,US,Seattle,385,9.17
34.219.13.147,443,443,true,SEA,North America,US,Seattle,286,9.17
34.222.220.62,443,443,true,SEA,North America,US,Seattle,349,9.17
35.86.90.184,8080,443,true,PDX,North America,US,Portland,275,9.17
34.208.221.169,443,443,true,PDX,North America,US,Portland,373,9.17
3.101.133.120,80,443,true,SJC,North America,US,San Jose,329,9.16
35.91.196.131,8443,443,true,SEA,North America,US,Seattle,311,9.16
34.218.130.79,443,443,true,SEA,North America,US,Seattle,279,9.16
54.191.153.191,443,443,true,SEA,North America,US,Seattle,389,9.15
44.245.178.76,8443,443,true,SEA,North America,US,Seattle,226,9.15
67.226.223.51,80,443,true,LHR,Europe,GB,London,168,9.15
34.221.49.9,443,443,true,SEA,North America,US,Seattle,187,9.14
44.244.101.228,443,443,true,SEA,North America,US,Seattle,314,9.14
34.219.230.214,443,443,true,SEA,North America,US,Seattle,230,9.14
204.110.220.199,80,443,true,SJC,North America,US,San Jose,185,9.14
18.237.177.52,443,443,true,SEA,North America,US,Seattle,268,9.14
34.208.250.126,443,443,true,SEA,North America,US,Seattle,240,9.14
34.222.255.129,443,443,true,SEA,North America,US,Seattle,284,9.14
35.89.235.46,443,443,true,SEA,North America,US,Seattle,282,9.14
54.203.64.202,443,443,true,SEA,North America,US,Seattle,339,9.14
35.92.152.198,443,443,true,SEA,North America,US,Seattle,229,9.13
34.219.206.100,443,443,true,SEA,North America,US,Seattle,293,9.13
54.202.167.141,443,443,true,PDX,North America,US,Portland,259,9.13
54.190.156.147,8443,443,true,PDX,North America,US,Portland,386,9.13
35.93.2.102,443,443,true,SEA,North America,US,Seattle,308,9.13
34.211.39.207,443,443,true,SEA,North America,US,Seattle,247,9.12
51.20.238.138,8080,443,true,ARN,Europe,SE,Stockholm,313,9.12
54.185.204.231,443,443,true,SEA,North America,US,Seattle,269,9.12
52.27.222.13,443,443,true,SEA,North America,US,Seattle,460,9.11
35.92.142.68,443,443,true,SEA,North America,US,Seattle,226,9.11
54.212.184.51,443,443,true,SEA,North America,US,Seattle,303,9.11
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,465,9.11
35.90.115.180,443,443,true,SEA,North America,US,Seattle,318,9.09
54.202.226.43,443,443,true,SEA,North America,US,Seattle,330,9.09
34.209.134.73,443,443,true,SEA,North America,US,Seattle,415,9.09
35.91.77.63,443,443,true,SEA,North America,US,Seattle,313,9.08
35.92.173.241,443,443,true,SEA,North America,US,Seattle,269,9.08
34.221.29.14,443,443,true,SEA,North America,US,Seattle,282,9.08
34.213.64.91,443,443,true,SEA,North America,US,Seattle,322,9.08
52.41.218.4,80,443,true,SEA,North America,US,Seattle,261,9.08
34.209.238.134,443,443,true,SEA,North America,US,Seattle,419,9.08
34.221.5.1,443,443,true,SEA,North America,US,Seattle,350,9.08
54.202.115.66,80,443,true,PDX,North America,US,Portland,384,9.08
34.215.202.240,443,443,true,SEA,North America,US,Seattle,250,9.08
44.243.33.161,443,443,true,SEA,North America,US,Seattle,408,9.08
35.167.93.200,80,443,true,PDX,North America,US,Portland,247,9.07
35.167.93.200,443,443,true,PDX,North America,US,Portland,264,9.07
35.92.121.201,443,443,true,SEA,North America,US,Seattle,199,9.07
34.218.205.118,80,443,true,SEA,North America,US,Seattle,310,9.07
34.218.205.118,443,443,true,PDX,North America,US,Portland,203,9.07
34.209.216.3,80,443,true,SEA,North America,US,Seattle,329,9.07
